,ni,nj,nk,disruption,name,confidence
mn0000805560,2.0,0.0,129.0,0.015267175572519083,Ernie Royal,0.667
mn0000019325,0.0,2.0,8.0,-0.2,Ambrose Thibodeaux,0.6651
mn0000172167,72.0,73.0,3430.0,-0.0002797202797202797,Elliott Smith,0.5297
mn0000617196,228.0,151.0,3070.0,0.022325311684546247,Brian Eno,1.0
mn0000741236,15.0,6.0,1039.0,0.008490566037735849,Four Tet,0.9255
mn0000326249,133.0,126.0,3450.0,0.0018873011593421407,Radiohead,0.6655
mn0000643682,7.0,2.0,542.0,0.009074410163339383,Burial,0.8332
mn0000065114,6.0,8.0,162.0,-0.011363636363636364,Robert Ashley,0.6331
mn0000183867,141.0,27.0,37.0,0.5560975609756098,John Cage,1.0
mn0000887513,6.0,1.0,167.0,0.028735632183908046,Michael Nyman,0.8377
mn0000799035,0.0,5.0,214.0,-0.0228310502283105,Cornelius Cardew,0.8476
mn0000290812,146.0,113.0,2272.0,0.013038324772817068,Joy Division,0.9737
mn0000387815,62.0,72.0,1713.0,-0.005414185165132647,Neu!,0.7876
mn0000104714,285.0,84.0,2375.0,0.07325072886297376,Kraftwerk,1.0
mn0000343930,101.0,64.0,3411.0,0.01034675615212528,The Jesus and Mary Chain,0.9978
mn0000925636,2.0,1.0,1234.0,0.0008084074373484236,Therapy?,0.5814
mn0000495455,7.0,8.0,1896.0,-0.0005232862375719519,Monster Magnet,0.5721
mn0000820115,5.0,6.0,1557.0,-0.0006377551020408163,White Zombie,0.5733
mn0000825087,7.0,8.0,3146.0,-0.00031635558367605187,Living Colour,0.5581
mn0000140816,4.0,10.0,1173.0,-0.005054759898904802,Eddie Hazel,0.8503
mn0000772733,18.0,19.0,583.0,-0.0016129032258064516,Booker T. & the MG's,0.5604
mn0000240865,28.0,36.0,916.0,-0.00816326530612245,Jeff Beck,0.8143
mn0000112462,64.0,91.0,1979.0,-0.012652296157450796,Cream,0.9811
mn0000608701,123.0,94.0,354.0,0.050788091068301226,Muddy Waters,0.969
mn0000128099,202.0,104.0,1074.0,0.07101449275362319,James Brown,1.0
mn0000286672,1.0,0.0,40.0,0.024390243902439025,Platypus,0.589
mn0000033161,46.0,93.0,2349.0,-0.018890675241157555,Sly & the Family Stone,1.0
mn0000354105,163.0,259.0,3272.0,-0.02598808879263671,Jimi Hendrix,1.0
mn0000175025,9.0,2.0,1315.0,0.005279034690799397,Eddie Vedder,0.9034
mn0000069707,8.0,0.0,53.0,0.13114754098360656,The Chipmunks,0.9375
mn0000607053,14.0,14.0,411.0,0.0,At the Gates,0.4942
mn0000096977,5.0,14.0,246.0,-0.033962264150943396,In Flames,0.9304
mn0000925598,3.0,0.0,28.0,0.0967741935483871,Therion,0.7347
mn0000576996,1.0,4.0,284.0,-0.010380622837370242,Dark Tranquillity,0.7234
mn0000074195,5.0,8.0,413.0,-0.007042253521126761,Natalie Cole,0.6943
mn0000211570,1.0,4.0,368.0,-0.00804289544235925,Dianne Reeves,0.7295
mn0000519355,1.0,0.0,133.0,0.007462686567164179,Christian Anders,0.5818
mn0000207994,1.0,1.0,77.0,0.0,Lou Harrison,0.5043
mn0000734199,33.0,0.0,44.0,0.42857142857142855,Edgard Varèse,1.0
mn0000936425,33.0,61.0,3152.0,-0.00862600123228589,Todd Rundgren,0.9961
mn0000582313,47.0,101.0,2787.0,-0.018398637137989778,The Zombies,1.0
mn0000325459,94.0,146.0,3947.0,-0.012419393360401243,R.E.M.,0.9994
mn0000131627,33.0,46.0,2974.0,-0.004258106780216181,Creedence Clearwater Revival,0.9065
mn0000009680,67.0,37.0,663.0,0.03911342894393742,Charles Mingus,0.9971
mn0000255377,0.0,1.0,451.0,-0.0022123893805309734,Pepper Adams,0.5907
mn0000542549,8.0,17.0,374.0,-0.022556390977443608,Gerry Mulligan,0.9136
mn0000227776,6.0,22.0,557.0,-0.02735042735042735,Lee Konitz,0.9922
mn0000166505,7.0,3.0,694.0,0.005681818181818182,Feist,0.7715
mn0000784811,5.0,4.0,875.0,0.0011312217194570137,Joanna Newsom,0.568
mn0000574035,4.0,1.0,1957.0,0.0015290519877675841,St. Vincent,0.7292
mn0000895136,130.0,126.0,4055.0,0.0009278589654372535,Pixies,0.5914
mn0000357406,148.0,132.0,3475.0,0.004260985352862849,Nirvana,0.8269
mn0000752314,78.0,121.0,2757.0,-0.014546684709066306,Pavement,0.9989
mn0000647796,19.0,5.0,1468.0,0.00938337801608579,Camper Van Beethoven,0.9836
mn0002188470,1.0,0.0,4.0,0.2,Gordan Nikolic,0.5881
mn0000001589,3.0,0.0,70.0,0.0410958904109589,György Kurtág,0.7451
mn0001551285,2.0,0.0,30.0,0.0625,Witold Lutosławski,0.666
mn0000076881,32.0,72.0,443.0,-0.07312614259597806,Jimmy Reed,0.9998
mn0000511041,3.0,0.0,2098.0,0.0014278914802475012,Aterciopelados,0.7395
mn0000488378,32.0,7.0,2072.0,0.011842728564661297,Os Mutantes,0.9996
mn0000131650,101.0,89.0,2916.0,0.0038634900193174502,Talking Heads,0.7982
mn0000639397,17.0,13.0,1881.0,0.0020931449502878076,Caetano Veloso,0.7173
mn0000191699,6.0,10.0,1750.0,-0.0022650056625141564,Gal Costa,0.7489
mn0000176298,8.0,2.0,97.0,0.056074766355140186,Dom Um Romão,0.8689
mn0001067429,1.0,1.0,46.0,0.0,Mayuto Correa,0.497
mn0001413399,4.0,2.0,84.0,0.022222222222222223,Jadir de Castro,0.656
mn0000353700,2.0,4.0,25.0,-0.06451612903225806,Rubens Bassini,0.6567
mn0000609992,7.0,3.0,1049.0,0.003777148253068933,Airto Moreira,0.774
